,1,2,3,4,5,6,7
범죄도시2,81.79817,82.63932,76.11448,67.86779066267725,79.75650699314565,64.42164,52.31474
해적: 도깨비 깃발,45.33693,61.04397,71.65502,63.07768015486307,72.64674078765287,90.19795,100.0
신비한 동물들과 덤블도어의 비밀,79.25939,79.88383,79.00153,70.3160259269929,69.97402048180557,51.73497,43.86055
더 배트맨,100.0,55.7364,43.09207,44.1211,43.15344435517963,41.5726964389436,30.62402
킹메이커,60.46166,66.49781,75.43259,68.05627980177714,75.1306056605911,92.36181,100.0
언차티드,74.54984,81.16732,81.27853,70.3160259269929,74.5523470579387,54.54545,45.69891
경관의 피,76.27623,82.15214,78.16748,69.02445413116331,79.75650699314565,53.51286,44.40415
이상한 나라의 수학자,75.39737,62.83018,77.1874,70.3160259269929,77.27895883556127,51.75079,42.80068
모비우스,82.80799,81.70839,79.44563,70.3160259269929,64.63823838310783,46.44666,38.33459
특송,52.99204,74.38707,79.9744,70.3160259269929,71.83731592513153,54.79422,45.96168
니 부모 얼굴이 보고 싶다,56.10658,60.4018,74.65095,70.3160259269929,65.92227029179328,51.6757,47.90939
뜨거운 피,60.44266,67.46342,76.7704,70.3160259269929,65.27872301251628,47.98663,38.56003
나일 강의 죽음,55.75667,62.75034,71.68558,70.3160259269929,67.43164623533717,54.72196,46.01777
문폴,46.9153,42.97785,70.01655,70.3160259269929,56.537393894766126,34.27209,28.20887
앵커,66.94521,75.45841,89.69753,70.3160259269929,69.1161754438887,67.56846,61.31508
하우스 오브 구찌,100.0,90.39742,90.81925,65.82680472572294,69.50082512581524,58.35248,47.847
웨스트 사이드 스토리,87.24992,92.25328,91.8931,70.3160259269929,68.41459733012348,44.50395,40.54755
앰뷸런스,51.41849,65.13182,80.2655,70.3160259269929,45.91255903481793,31.96249,31.31637
서울괴담,64.85568,67.17215,71.13485,70.3160259269929,63.54275085695417,47.94087,47.2653
안테벨룸,65.05773,73.1093,71.23591,70.3160259269929,71.07540998947671,69.09944,56.44955
스텔라,43.09566,59.41958,78.83398,70.3160259269929,67.77857108945595,46.10705,50.45587
스펜서,49.59493,49.36625,79.15582,70.3160259269929,60.21174426933755,42.00218,44.778
인민을 위해 복무하라,98.76175,90.27394,90.46647,70.3160259269929,74.65079051452034,64.30976,54.28598
그대가 조국,87.62803,85.76461,78.79361,70.3160259269929,75.62332540949336,70.50918,87.01074
나의 촛불,59.79275,84.96545,70.3160259269929,64.21751483306828,53.35914,46.21574,42.35178
나이트메어 앨리,82.97027,75.13949,76.48352,70.3160259269929,74.58075632572965,70.44479,55.09979
어나더 라운드,72.34199,74.63083,89.75191,70.3160259269929,65.98873138907067,64.11695,56.34967
시라노,100.0,94.2359,92.18332,68.13131403304384,68.16248701151815,63.82679,56.36159
리코리쉬 피자,93.22194,84.3693,85.79459,70.3160259269929,74.281095177655,68.49315,62.11101
우연과 상상,66.60961,100.0,92.80358,57.56515685988016,60.880143676193605,66.71556,56.38141
